,0,1,2,3,4
0,38,1,0,0.863712549,[0.0]
1,251,1,0,0.860177577,[0.0]
2,401,1,0,0.863529444,[0.0]
3,501,1,0,0.862545907,[0.0]
4,601,1,0,0.860449493,[0.0]
5,751,1,0,0.861289263,[0.0]
6,901,1,0,0.861421764,[0.0]
7,951,1,0,0.860044539,[0.0]
8,1051,1,0,0.861151993,[0.0]
9,1201,1,0,0.861764014,[0.0]
10,1351,1,0,0.86401248,[0.0]
11,1451,1,0,0.863018215,[0.0]
12,1601,1,0,0.862815559,[0.0]
13,1801,1,0,0.862412691,[0.0]
14,1851,1,0,0.862157762,[0.0]
15,1901,1,0,0.862157583,[0.0]
16,2001,1,0,0.860281646,[0.0]
17,2101,1,0,0.852988482,[0.0]
18,2251,1,0,0.853315949,[0.0]
19,2301,1,0,0.853095114,[0.0]
20,2451,1,0,0.855487466,[0.0]
21,2501,1,0,0.856227815,[0.0]
22,2651,1,0,0.857900798,[0.0]
23,2701,1,0,0.855632067,[0.0]
24,2901,1,0,0.858843684,[0.0]
25,3001,1,0,0.855354071,[0.0]
26,3101,1,0,0.857645631,[0.0]
27,3351,1,0,0.855656326,[0.0]
28,3401,1,0,0.855970442,[0.0]
29,3501,1,0,0.856317937,[0.0]
30,3601,1,0,0.858244419,[0.0]
31,3701,1,0,0.859400928,[0.0]
32,3801,1,0,0.857777655,[0.0]
33,3901,1,0,0.857086658,[0.0]
34,4001,1,0,0.85868907,[0.0]
35,4051,1,0,0.856979728,[0.0]
36,4101,1,0,0.856635988,[0.0]
37,4201,1,0,0.86008203,[0.0]
38,4251,1,0,0.856571376,[0.0]
39,4501,1,0,0.861205101,[0.0]
40,4651,1,0,0.857847393,[0.0]
41,4751,1,0,0.859119534,[0.0]
42,4899,1,0,0.854771674,[0.0]
43,5051,1,0,0.856815457,[0.0]
44,5253,1,0,0.855885446,[0.0]
45,5305,1,0,0.857155859,[0.0]
46,5401,1,0,0.855126321,[0.0]
47,5456,1,0,0.855711222,[0.0]
48,5549,1,0,0.852176726,[0.0]
49,5599,1,0,0.854318738,[0.0]
50,5755,1,0,0.863137066,[0.0]
