,0,1,2,3,4
0,56,1,0,0.8563017845153809,[0.0]
1,201,1,0,0.8627766966819763,[0.0]
2,302,1,0,0.8695530891418457,[0.0]
3,401,1,0,0.851326584815979,[0.0]
4,451,1,0,0.8516973853111267,[0.0]
5,501,1,0,0.8623359203338623,[0.0]
6,751,1,0,0.8787874579429626,[0.0]
7,851,1,0,0.8770836591720581,[0.0]
8,951,1,0,0.8769175410270691,[0.0]
9,1051,1,0,0.8758672475814819,[0.0]
10,1251,1,0,0.865195095539093,[0.0]
11,1351,1,0,0.8747666478157043,[0.0]
12,1501,1,0,0.870815634727478,[0.0]
13,1651,1,0,0.8772438764572144,[0.0]
14,1751,1,0,0.8662142157554626,[0.0]
15,1801,1,0,0.8755918145179749,[0.0]
16,1851,1,0,0.8683637380599976,[0.0]
17,1951,1,0,0.8486416339874268,[0.0]
18,2101,1,0,0.8706210851669312,[0.0]
19,2251,1,0,0.8693472146987915,[0.0]
20,2401,1,0,0.8740624189376831,[0.0]
21,2501,1,0,0.87148517370224,[0.0]
22,2651,1,0,0.8764204978942871,[0.0]
23,2751,1,0,0.8723745346069336,[0.0]
24,2851,1,0,0.8726345300674438,[0.0]
25,3051,1,0,0.8752569556236267,[0.0]
26,3201,1,0,0.8723678588867188,[0.0]
27,3351,1,0,0.8758339285850525,[0.0]
28,3451,1,0,0.8566073775291443,[0.0]
29,3551,1,0,0.858681321144104,[0.0]
30,3701,1,0,0.858530580997467,[0.0]
31,3951,1,0,0.8615499138832092,[0.0]
32,4001,1,0,0.8613197207450867,[0.0]
33,4051,1,0,0.8618590831756592,[0.0]
34,4101,1,0,0.8622154593467712,[0.0]
35,4151,1,0,0.8650175333023071,[0.0]
36,4251,1,0,0.8647342324256897,[0.0]
37,4351,1,0,0.8653637766838074,[0.0]
38,4451,1,0,0.8686240911483765,[0.0]
39,4601,1,0,0.8669053912162781,[0.0]
40,4701,1,0,0.8660903573036194,[0.0]
41,4801,1,0,0.8667593598365784,[0.0]
42,4851,1,0,0.8669116497039795,[0.0]
43,4951,1,0,0.8623725175857544,[0.0]
44,5001,1,0,0.8672577738761902,[0.0]
45,5101,1,0,0.8648411631584167,[0.0]
46,5251,1,0,0.8656123876571655,[0.0]
47,5301,1,0,0.86444491147995,[0.0]
48,5401,1,0,0.8649665117263794,[0.0]
49,5549,1,0,0.8653537631034851,[0.0]
50,5701,1,0,0.8664541840553284,[0.0]
51,5753,1,0,0.870149552822113,[0.0]
52,5803,1,0,0.8674315810203552,[0.0]
53,5901,1,0,0.8637242913246155,[0.0]
54,5951,1,0,0.8668712973594666,[0.0]
55,6051,1,0,0.865065336227417,[0.0]
56,6201,1,0,0.8677467703819275,[0.0]
57,6251,1,0,0.8657676577568054,[0.0]
58,6351,1,0,0.8748440146446228,[0.0]
59,6451,1,0,0.8690885901451111,[0.0]
60,6551,1,0,0.8719726800918579,[0.0]
61,6601,1,0,0.8695698380470276,[0.0]
62,6801,1,0,0.8673390746116638,[0.0]
63,6901,1,0,0.8668808937072754,[0.0]
64,7001,1,0,0.8693639039993286,[0.0]
65,7051,1,0,0.8714228868484497,[0.0]
66,7151,1,0,0.8762833476066589,[0.0]
67,7251,1,0,0.8723835945129395,[0.0]
68,7403,1,0,0.8799419403076172,[0.0]
69,7551,1,0,0.8958687782287598,[0.0]
70,7651,1,0,0.8894716501235962,[0.0]
71,7751,1,0,0.8896863460540771,[0.0]
72,7801,1,0,0.8900915384292603,[0.0]
73,7951,1,0,0.8905179500579834,[0.0]
74,8101,1,0,0.9097296595573425,[0.0]
75,8201,1,0,0.888195812702179,[0.0]
76,8301,1,0,0.8837899565696716,[0.0]
77,8401,1,0,0.8885377645492554,[0.0]
78,8501,1,0,0.8886182904243469,[0.0]
79,8551,1,0,0.8928697109222412,[0.0]
80,8651,1,0,0.9018940925598145,[0.0]
81,8801,1,0,0.8984673023223877,[0.0]
82,8951,1,0,0.8995367288589478,[0.0]
83,9101,1,0,0.8992209434509277,[0.0]
84,9151,1,0,0.8994768261909485,[0.0]
85,9201,1,0,0.8982254862785339,[0.0]
86,9301,1,0,0.8989415764808655,[0.0]
87,9401,1,0,0.8984626531600952,[0.0]
88,9451,1,0,0.8988115191459656,[0.0]
89,9551,1,0,0.8974266052246094,[0.0]
90,9651,1,0,0.8978927731513977,[0.0]
91,9801,1,0,0.8964235782623291,[0.0]
92,9951,1,0,0.8955494165420532,[0.0]
93,10001,1,0,0.8978036046028137,[0.0]
94,10151,1,0,0.8971660137176514,[0.0]
95,10201,1,0,0.898332953453064,[0.0]
96,10251,1,0,0.8963214755058289,[0.0]
97,10301,1,0,0.8978832364082336,[0.0]
98,10401,1,0,0.8971518874168396,[0.0]
99,10451,1,0,0.8972209095954895,[0.0]
100,10551,1,0,0.8956087231636047,[0.0]
101,10651,1,0,0.8966384530067444,[0.0]
102,10751,1,0,0.897864043712616,[0.0]
103,10901,1,0,0.897940993309021,[0.0]
104,11101,1,0,0.8794859051704407,[0.0]
105,11201,1,0,0.881248414516449,[0.0]
106,11401,1,0,0.8804375529289246,[0.0]
107,11551,1,0,0.8821370601654053,[0.0]
108,11601,1,0,0.8813936114311218,[0.0]
109,11751,1,0,0.8832181096076965,[0.0]
110,11801,1,0,0.8806975483894348,[0.0]
111,11951,1,0,0.8816213011741638,[0.0]
112,12001,1,0,0.8806633353233337,[0.0]
113,12101,1,0,0.8815775513648987,[0.0]
114,12251,1,0,0.8787828683853149,[0.0]
115,12351,1,0,0.878811776638031,[0.0]
116,12451,1,0,0.8802806735038757,[0.0]
117,12501,1,0,0.8787352442741394,[0.0]
118,12651,1,0,0.878079891204834,[0.0]
119,12801,1,0,0.8796676397323608,[0.0]
120,12951,1,0,0.8784789443016052,[0.0]
121,13001,1,0,0.8793418407440186,[0.0]
122,13101,1,0,0.8782463073730469,[0.0]
123,13251,1,0,0.8790331482887268,[0.0]
124,13351,1,0,0.8810108304023743,[0.0]
125,13401,1,0,0.8811677098274231,[0.0]
126,13501,1,0,0.8821005821228027,[0.0]
127,13601,1,0,0.8811173439025879,[0.0]
128,13751,1,0,0.8757825493812561,[0.0]
129,13851,1,0,0.870962381362915,[0.0]
130,14001,1,0,0.8681612610816956,[0.0]
131,14104,1,0,0.8705379962921143,[0.0]
132,14193,1,0,0.875685453414917,[0.0]
133,14301,1,0,0.8698781132698059,[0.0]
134,14401,1,0,0.8715028762817383,[0.0]
135,14501,1,0,0.8702443242073059,[0.0]
136,14601,1,0,0.87127286195755,[0.0]
137,14701,1,0,0.8737002015113831,[0.0]
138,14801,1,0,0.8725789785385132,[0.0]
139,14851,1,0,0.8714189529418945,[0.0]
140,14901,1,0,0.8729458451271057,[0.0]
141,15001,1,0,0.8717319965362549,[0.0]
142,15101,1,0,0.873537540435791,[0.0]
143,15151,1,0,0.8734115362167358,[0.0]
144,15251,1,0,0.8740776777267456,[0.0]
145,15351,1,0,0.8729432821273804,[0.0]
146,15401,1,0,0.8749772310256958,[0.0]
147,15501,1,0,0.8776693940162659,[0.0]
148,15551,1,0,0.8762170672416687,[0.0]
149,15601,1,0,0.8775622844696045,[0.0]
150,15701,1,0,0.8751265406608582,[0.0]
151,15801,1,0,0.8745567798614502,[0.0]
152,15951,1,0,0.8726719617843628,[0.0]
153,16051,1,0,0.8712726831436157,[0.0]
154,16101,1,0,0.8706197142601013,[0.0]
155,16201,1,0,0.8736765384674072,[0.0]
156,16301,1,0,0.8730171322822571,[0.0]
157,16351,1,0,0.8731591105461121,[0.0]
158,16401,1,0,0.8757597804069519,[0.0]
159,16551,1,0,0.8723862767219543,[0.0]
160,16701,1,0,0.8731501698493958,[0.0]
161,16801,1,0,0.8718783259391785,[0.0]
162,16851,1,0,0.8694223761558533,[0.0]
163,17001,1,0,0.8706544041633606,[0.0]
164,17101,1,0,0.8687302470207214,[0.0]
165,17151,1,0,0.8694943785667419,[0.0]
166,17301,1,0,0.8714801073074341,[0.0]
167,17351,1,0,0.8716725707054138,[0.0]
168,17501,1,0,0.8709441423416138,[0.0]
169,17601,1,0,0.8715317249298096,[0.0]
170,17651,1,0,0.8723228573799133,[0.0]
171,17701,1,0,0.8684837222099304,[0.0]
172,17751,1,0,0.8708710670471191,[0.0]
173,17901,1,0,0.8753703832626343,[0.0]
174,18001,1,0,0.8704315423965454,[0.0]
175,18101,1,0,0.871552586555481,[0.0]
176,18151,1,0,0.8679491877555847,[0.0]
177,18301,1,0,0.8716358542442322,[0.0]
178,18401,1,0,0.8711981177330017,[0.0]
179,18601,1,0,0.8719419240951538,[0.0]
180,18701,1,0,0.872113049030304,[0.0]
181,18801,1,0,0.870675802230835,[0.0]
182,18851,1,0,0.8716307282447815,[0.0]
183,18951,1,0,0.8714035153388977,[0.0]
184,19057,1,0,0.8706459999084473,[0.0]
185,19107,1,0,0.8719816207885742,[0.0]
186,19207,1,0,0.8706708550453186,[0.0]
187,19357,1,0,0.8699277639389038,[0.0]
188,19562,1,0,0.8778462409973145,[0.0]
189,19710,1,0,0.8752133250236511,[0.0]
190,19809,1,0,0.874622106552124,[0.0]
191,19910,1,0,0.8586649894714355,[0.0]
192,20058,1,0,0.8603103756904602,[0.0]
193,20162,1,0,0.8603922724723816,[0.0]
194,20309,1,0,0.8627421259880066,[0.0]
195,20407,1,0,0.8624473810195923,[0.0]
196,20507,1,0,0.8592361211776733,[0.0]
197,20560,1,0,0.8600710034370422,[0.0]
198,20631,1,0,0.8602309226989746,[0.0]
199,20712,1,0,0.8637190461158752,[0.0]
200,20860,1,0,0.8639920949935913,[0.0]
201,20910,1,0,0.8636494278907776,[0.0]
202,20961,1,0,0.8657097220420837,[0.0]
203,21011,1,0,0.8636340498924255,[0.0]
204,21108,1,0,0.8648958802223206,[0.0]
205,21259,1,0,0.865143358707428,[0.0]
206,21405,1,0,0.863034725189209,[0.0]
207,21457,1,0,0.863604724407196,[0.0]
208,21557,1,0,0.8624075651168823,[0.0]
209,21657,1,0,0.8607518076896667,[0.0]
210,21811,1,0,0.8591524958610535,[0.0]
211,21909,1,0,0.8631376028060913,[0.0]
212,22008,1,0,0.8649775981903076,[0.0]
213,22059,1,0,0.8691120743751526,[0.0]
214,22159,1,0,0.8700510859489441,[0.0]
215,22210,1,0,0.8721675872802734,[0.0]
216,22310,1,0,0.8693464994430542,[0.0]
217,22360,1,0,0.8704533576965332,[0.0]
218,22460,1,0,0.8728429079055786,[0.0]
219,22560,1,0,0.8714753985404968,[0.0]
220,22610,1,0,0.8715004324913025,[0.0]
221,22660,1,0,0.87314373254776,[0.0]
222,22910,1,0,0.8726673126220703,[0.0]
223,23060,1,0,0.8722100853919983,[0.0]
224,23205,1,0,0.8741886615753174,[0.0]
225,23282,1,0,0.8728118538856506,[0.0]
226,23357,1,0,0.8715128898620605,[0.0]
227,23458,1,0,0.8719437122344971,[0.0]
228,23559,1,0,0.8682280778884888,[0.0]
229,23609,1,0,0.8777908086776733,[0.0]
230,23758,1,0,0.8690803050994873,[0.0]
231,23908,1,0,0.8708077669143677,[0.0]
232,24008,1,0,0.8727202415466309,[0.0]
233,24108,1,0,0.8710164427757263,[0.0]
234,24208,1,0,0.8745087385177612,[0.0]
235,24258,1,0,0.8606603741645813,[0.0]
236,24358,1,0,0.8683878779411316,[0.0]
237,24507,1,0,0.8680713176727295,[0.0]
238,24563,1,0,0.870657205581665,[0.0]
239,24704,1,0,0.865957498550415,[0.0]
240,24829,1,0,0.8668235540390015,[0.0]
241,24906,1,0,0.8694507479667664,[0.0]
242,25103,1,0,0.8686383366584778,[0.0]
243,25154,1,0,0.8676162958145142,[0.0]
244,25257,1,0,0.884119987487793,[0.0]
245,25357,1,0,0.8837541937828064,[0.0]
