,ind,preds,results,time
0,18,[[    0.26245     0.73755]],1,1.575798511505127
1,183,[[  0.0010888     0.99891]],1,0.2524373531341553
2,273,[[   0.019208     0.98079]],1,0.3099405765533447
3,365,[[  0.0030664     0.99693]],1,0.24686717987060547
4,417,[[    0.72605     0.27395]],0,0.2708883285522461
5,469,[[    0.11885     0.88115]],1,0.2715322971343994
6,547,[[   0.049288     0.95071]],1,0.26573753356933594
7,625,[[   0.078466     0.92153]],1,0.26880598068237305
8,677,[[   0.012558     0.98744]],1,0.2646019458770752
9,807,[[  0.0010083     0.99899]],1,0.3724095821380615
10,911,[[    0.26066     0.73934]],1,0.2616450786590576
11,963,[[  0.0050242     0.99498]],1,0.2762303352355957
12,1067,[[   0.042193     0.95781]],1,0.25946497917175293
13,1119,[[    0.30504     0.69496]],1,0.2815275192260742
14,1171,[[   0.039367     0.96063]],1,0.26248979568481445
15,1275,[[   0.030936     0.96906]],1,0.26419687271118164
16,1353,[[   0.012841     0.98716]],1,0.25964999198913574
17,1408,[[   0.025776     0.97422]],1,0.2510414123535156
18,1535,[[  0.0081471     0.99185]],1,0.31160974502563477
19,1639,[[    0.15479     0.84521]],1,0.2729170322418213
20,1691,[[  0.0098753     0.99012]],1,0.26268625259399414
21,1769,[[   0.088552     0.91145]],1,0.2603912353515625
22,1821,[[    0.03223     0.96777]],1,0.2577950954437256
23,1977,[[     0.1156      0.8844]],1,0.2637155055999756
24,2087,[[   0.016868     0.98313]],1,0.2516813278198242
25,2185,[[   0.022053     0.97795]],1,0.265674352645874
26,2263,[[   0.031848     0.96815]],1,0.264418363571167
27,2393,[[    0.66205     0.33795]],0,0.2740955352783203
28,2471,[[    0.40031     0.59969]],1,0.2909407615661621
29,2523,[[    0.11042     0.88958]],1,0.2927539348602295
30,2627,[[  0.0069619     0.99304]],1,0.2868809700012207
31,2679,[[   0.037948     0.96205]],1,0.27876925468444824
32,2782,[[    0.33508     0.66492]],1,0.30395030975341797
33,2835,[[   0.020951     0.97905]],1,0.2771899700164795
34,2939,[[    0.30931     0.69069]],1,0.2747495174407959
35,3095,[[   0.011063     0.98894]],1,0.2617042064666748
36,3165,[[   0.011298      0.9887]],1,0.3142385482788086
37,3225,[[    0.13896     0.86104]],1,0.2722642421722412
38,3277,[[    0.25377     0.74623]],1,0.27616095542907715
39,3355,[[    0.14277     0.85723]],1,0.2537851333618164
40,3407,[[   0.037334     0.96267]],1,0.25861358642578125
41,3537,[[    0.23404     0.76596]],1,0.2606074810028076
42,3589,[[    0.10334     0.89666]],1,0.2599472999572754
43,3745,[[   0.017771     0.98223]],1,0.24485111236572266
44,3823,[[   0.083791     0.91621]],1,0.2580912113189697
45,3901,[[   0.084723     0.91528]],1,0.2962517738342285
46,3979,[[   0.015582     0.98442]],1,0.24317455291748047
47,4057,[[    0.10235     0.89765]],1,0.2647731304168701
48,4138,[[   0.028156     0.97184]],1,0.25311732292175293
49,4293,[[   0.024124     0.97588]],1,0.24865269660949707
50,4423,[[    0.45468     0.54532]],1,0.2600078582763672
51,4551,[[    0.14097     0.85903]],1,0.2546579837799072
52,4681,[[   0.036553     0.96345]],1,0.31618618965148926
53,4785,[[    0.86757     0.13243]],0,0.24896740913391113
54,4889,[[    0.04456     0.95544]],1,0.3037145137786865
55,4941,[[   0.005456     0.99454]],1,0.25989627838134766
56,5071,[[    0.19793     0.80207]],1,0.2528259754180908
57,5125,[[    0.79128     0.20872]],0,0.2834501266479492
58,5282,[[    0.15539     0.84461]],1,0.25440216064453125
59,5357,[[   0.082965     0.91703]],1,0.25321125984191895
60,5409,[[    0.29915     0.70085]],1,0.2506215572357178
61,5461,[[   0.077613     0.92239]],1,0.23258590698242188
62,5513,[[    0.18837     0.81163]],1,0.2534651756286621
63,5591,[[   0.069894     0.93011]],1,0.2634904384613037
64,5669,[[   0.033654     0.96635]],1,0.26318907737731934
65,5747,[[    0.53091     0.46909]],0,0.24323081970214844
66,5825,[[    0.03836     0.96164]],1,0.26942896842956543
67,5877,[[   0.091533     0.90847]],1,0.2643592357635498
68,5929,[[    0.52861     0.47139]],0,0.27051568031311035
69,5981,[[    0.77394     0.22606]],0,0.2695887088775635
70,6059,[[    0.24917     0.75083]],1,0.24997758865356445
71,6215,[[    0.32266     0.67734]],1,0.3029346466064453
72,6345,[[   0.054824     0.94518]],1,0.2649953365325928
73,6423,[[      0.678       0.322]],0,0.25821661949157715
74,6475,[[   0.037216     0.96278]],1,0.24631404876708984
75,6527,[[   0.063196      0.9368]],1,0.26163744926452637
76,6674,[[   0.011106     0.98889]],1,0.2725026607513428
77,6735,[[    0.19992     0.80008]],1,0.2708735466003418
78,6813,[[    0.80896     0.19104]],0,0.2678837776184082
79,6969,[[    0.49761     0.50239]],1,0.28270554542541504
80,7076,[[    0.88409     0.11591]],0,0.2772328853607178
81,7177,[[    0.88105     0.11895]],0,0.27735042572021484
82,7281,[[    0.47806     0.52194]],1,0.27803468704223633
83,7359,[[    0.37994     0.62006]],1,0.262408971786499
84,7463,[[    0.82217     0.17783]],0,0.26471877098083496
85,7567,[[    0.37269     0.62731]],1,0.25658226013183594
86,7619,[[     0.5975      0.4025]],0,0.2554495334625244
87,7723,[[    0.88742     0.11258]],0,0.25588464736938477
88,7801,[[    0.50915     0.49085]],0,0.2749347686767578
89,7931,[[    0.73125     0.26875]],0,0.24611973762512207
90,8038,[[    0.50583     0.49417]],0,0.26801347732543945
91,8165,[[   0.037102      0.9629]],1,0.24843239784240723
92,8243,[[    0.68766     0.31234]],0,0.2547619342803955
93,8321,[[   0.012694     0.98731]],1,0.2568643093109131
94,8425,[[   0.011387     0.98861]],1,0.23948240280151367
95,8477,[[    0.79819     0.20181]],0,0.8445870876312256
96,8581,[[   0.032761     0.96724]],1,0.44822049140930176
97,8659,[[    0.95355    0.046449]],0,0.2549707889556885
98,8737,[[     0.4458      0.5542]],1,0.2526686191558838
99,8841,[[   0.020353     0.97965]],1,0.27834033966064453
100,8971,[[      0.967    0.032997]],0,0.2702672481536865
101,9049,[[    0.24397     0.75603]],1,0.27155327796936035
