,ind,preds,results,time
0,35,[[  0.0007935     0.99921]],1,1.1636254787445068
1,187,[[   0.001831     0.99817]],1,0.2413334846496582
2,261,[[  0.0048589     0.99514]],1,0.2651219367980957
3,341,[[   0.010982     0.98902]],1,0.25084924697875977
4,573,[[ 0.00098152     0.99902]],1,0.29140520095825195
5,651,[[  0.0039727     0.99603]],1,0.25481224060058594
6,703,[[  0.0079119     0.99209]],1,0.275923490524292
7,781,[[  0.0023701     0.99763]],1,0.27079129219055176
8,859,[[   0.022996       0.977]],1,0.2555270195007324
9,963,[[ 0.00043772     0.99956]],1,0.32688331604003906
10,1015,[[ 0.00065703     0.99934]],1,0.3007962703704834
11,1067,[[  0.0023738     0.99763]],1,0.278667688369751
12,1171,[[  0.0082054     0.99179]],1,0.256183385848999
13,1275,[[   0.010964     0.98904]],1,0.2752254009246826
14,1327,[[   0.017942     0.98206]],1,0.2472074031829834
15,1379,[[  0.0017493     0.99825]],1,0.2622201442718506
16,1483,[[  0.0063784     0.99362]],1,0.24521541595458984
17,1561,[[   0.051591     0.94841]],1,0.25554561614990234
18,1665,[[   0.087468     0.91253]],1,0.2688720226287842
19,1717,[[   0.034744     0.96526]],1,0.24468612670898438
20,1797,[[   0.014757     0.98524]],1,0.2589755058288574
21,1847,[[   0.021407     0.97859]],1,0.23867321014404297
22,1951,[[   0.049159     0.95084]],1,0.27891087532043457
23,2029,[[    0.05649     0.94351]],1,0.2476820945739746
24,2081,[[   0.015534     0.98447]],1,0.2374134063720703
25,2133,[[    0.13593     0.86407]],1,0.2683899402618408
26,2263,[[    0.02138     0.97862]],1,0.2426154613494873
27,2315,[[   0.022622     0.97738]],1,0.2750570774078369
28,2367,[[   0.055066     0.94493]],1,0.2495131492614746
29,2419,[[   0.028211     0.97179]],1,0.24915099143981934
30,2549,[[   0.060625     0.93938]],1,0.2513458728790283
31,2601,[[   0.086103      0.9139]],1,0.2534365653991699
32,2679,[[    0.16757     0.83243]],1,0.24632787704467773
33,2809,[[   0.013406     0.98659]],1,0.24988389015197754
34,2887,[[  0.0054803     0.99452]],1,0.2487931251525879
35,2965,[[   0.010466     0.98953]],1,0.2847142219543457
36,3043,[[   0.004071     0.99593]],1,0.2944769859313965
37,3121,[[    0.10377     0.89623]],1,0.26894378662109375
38,3251,[[    0.10224     0.89776]],1,0.2761232852935791
39,3355,[[   0.056584     0.94342]],1,0.2704122066497803
40,3485,[[    0.19109     0.80891]],1,0.26831746101379395
41,3563,[[   0.013778     0.98622]],1,0.2692716121673584
42,3641,[[   0.053331     0.94667]],1,0.27538371086120605
43,3693,[[   0.061178     0.93882]],1,0.26271653175354004
44,3797,[[   0.086612     0.91339]],1,0.24983429908752441
45,3875,[[    0.20618     0.79382]],1,0.28273725509643555
46,3927,[[    0.64824     0.35176]],0,0.25777745246887207
47,4005,[[   0.098165     0.90184]],1,0.2496953010559082
48,4109,[[    0.02184     0.97816]],1,0.26124143600463867
