,ind,preds,results,time
0,18,[[    0.22197     0.77803]],1,2.5490224361419678
1,79,[[     0.8548      0.1452]],0,0.27092599868774414
2,235,[[     0.2205      0.7795]],1,0.2536594867706299
3,313,[[   0.037225     0.96278]],1,0.2918386459350586
4,445,[[    0.90259    0.097414]],0,0.2818026542663574
5,599,[[   0.040708     0.95929]],1,0.2785196304321289
6,651,[[    0.62029     0.37971]],0,0.26784563064575195
7,755,[[    0.85137     0.14863]],0,0.26224374771118164
8,807,[[   0.069545     0.93045]],1,0.2850656509399414
9,911,[[    0.75347     0.24653]],0,0.3053555488586426
10,1041,[[    0.20782     0.79218]],1,0.32947564125061035
11,1171,[[    0.15815     0.84185]],1,0.2774801254272461
12,1223,[[    0.21132     0.78868]],1,0.27013516426086426
13,1301,[[    0.40092     0.59908]],1,0.25236988067626953
14,1379,[[    0.10601     0.89399]],1,0.28118014335632324
15,1483,[[   0.052012     0.94799]],1,0.31066226959228516
16,1587,[[    0.41396     0.58604]],1,0.27950596809387207
17,1691,[[    0.72949     0.27051]],0,0.2892642021179199
18,1795,[[    0.19499     0.80501]],1,0.3013341426849365
19,1847,[[    0.41602     0.58398]],1,0.31882786750793457
20,1899,[[    0.73488     0.26512]],0,0.2998490333557129
21,2031,[[     0.4549      0.5451]],1,0.29500746726989746
22,2132,[[    0.51878     0.48122]],0,0.29902172088623047
23,2289,[[    0.03054     0.96946]],1,0.28522229194641113
24,2341,[[    0.15061     0.84939]],1,0.29319310188293457
25,2419,[[    0.54867     0.45133]],0,0.26932549476623535
26,2471,[[    0.57021     0.42979]],0,0.2698180675506592
27,2575,[[    0.28038     0.71962]],1,0.3911397457122803
28,2679,[[    0.63328     0.36672]],0,0.27107930183410645
29,2731,[[    0.58007     0.41993]],0,0.2738618850708008
30,2783,[[   0.033206     0.96679]],1,0.27175402641296387
31,2861,[[   0.079387     0.92061]],1,0.27761340141296387
32,2913,[[    0.62395     0.37605]],0,0.2643876075744629
33,2965,[[    0.83998     0.16002]],0,0.2568478584289551
34,3043,[[   0.030386     0.96961]],1,0.2707340717315674
35,3173,[[   0.051213     0.94879]],1,0.27294921875
36,3241,[[      0.166       0.834]],1,0.28435611724853516
37,3381,[[   0.030734     0.96927]],1,0.2554957866668701
38,3433,[[  0.0054605     0.99454]],1,0.2804877758026123
39,3511,[[    0.92104    0.078962]],0,0.2619781494140625
40,3589,[[    0.59752     0.40248]],0,0.3003363609313965
41,3667,[[     0.4074      0.5926]],1,0.2679150104522705
42,3719,[[    0.80739     0.19261]],0,0.2631070613861084
43,3797,[[    0.31097     0.68903]],1,0.2752647399902344
44,3875,[[    0.12162     0.87838]],1,0.28591227531433105
45,3953,[[    0.18072     0.81928]],1,0.2868361473083496
46,4031,[[    0.86345     0.13655]],0,0.27463364601135254
47,4277,[[    0.14842     0.85158]],1,0.28629422187805176
48,4395,[[   0.001626     0.99837]],1,0.26663684844970703
49,4473,[[   0.090843     0.90916]],1,0.26035428047180176
50,4527,[[   0.062887     0.93711]],1,0.27016639709472656
51,4655,[[    0.50628     0.49372]],0,0.28475022315979004
52,4707,[[  0.0094238     0.99058]],1,0.27263331413269043
53,4759,[[    0.93598    0.064017]],0,0.30133724212646484
54,4863,[[    0.68961     0.31039]],0,0.29134345054626465
55,4915,[[    0.37673     0.62327]],1,0.28085851669311523
56,4993,[[    0.79403     0.20597]],0,0.2937779426574707
57,5071,[[    0.80555     0.19445]],0,0.27741074562072754
58,5201,[[    0.69153     0.30847]],0,0.2785611152648926
59,5279,[[     0.5035      0.4965]],0,0.27059221267700195
60,5331,[[    0.90197    0.098029]],0,0.28623485565185547
61,5409,[[    0.69862     0.30137]],0,0.3036539554595947
62,5487,[[    0.95659    0.043406]],0,0.33404541015625
63,5565,[[    0.20647     0.79353]],1,0.2981705665588379
64,5617,[[  0.0050734     0.99493]],1,0.2921311855316162
65,5747,[[    0.21867     0.78133]],1,0.29912638664245605
66,5825,[[    0.20925     0.79075]],1,0.2812039852142334
67,5877,[[    0.50604     0.49396]],0,0.29518580436706543
68,5955,[[    0.36136     0.63864]],1,0.28909826278686523
69,6033,[[    0.76605     0.23395]],0,0.2895054817199707
70,6111,[[    0.93661    0.063395]],0,0.31142115592956543
71,6168,[[    0.17938     0.82062]],1,0.27548933029174805
72,6397,[[    0.62456     0.37544]],0,0.2644073963165283
73,6683,[[   0.085871     0.91413]],1,0.2557947635650635
74,6761,[[     0.4684      0.5316]],1,0.2880721092224121
75,6813,[[  0.0033906     0.99661]],1,0.2846808433532715
76,6917,[[    0.51949     0.48051]],0,0.25405454635620117
77,6995,[[    0.84876     0.15124]],0,0.27437806129455566
78,7099,[[    0.64788     0.35212]],0,0.3216514587402344
79,7183,[[    0.57623     0.42377]],0,0.2893407344818115
80,7254,[[    0.18322     0.81678]],1,0.28124499320983887
81,7307,[[    0.78634     0.21366]],0,0.2558455467224121
82,7385,[[    0.54511     0.45489]],0,0.27561306953430176
83,7463,[[    0.39421     0.60579]],1,0.29101037979125977
84,7541,[[    0.60922     0.39078]],0,0.2672882080078125
85,7593,[[     0.2716      0.7284]],1,0.2752251625061035
86,7647,[[    0.20154     0.79846]],1,0.28394412994384766
87,7749,[[    0.68917     0.31083]],0,0.30284810066223145
88,7827,[[    0.12986     0.87014]],1,0.27181267738342285
89,7905,[[    0.48881     0.51119]],1,0.2567627429962158
90,7957,[[    0.91329    0.086714]],0,0.2626311779022217
91,8061,[[    0.82891     0.17109]],0,0.27201414108276367
92,8113,[[    0.72517     0.27483]],0,0.2853245735168457
93,8165,[[    0.81218     0.18782]],0,0.32753777503967285
94,8299,[[    0.90446    0.095537]],0,0.2789461612701416
95,8399,[[    0.33893     0.66107]],1,0.2805192470550537
96,8508,[[    0.69323     0.30677]],0,0.26920294761657715
97,8659,[[    0.51256     0.48744]],0,0.34446072578430176
98,8711,[[    0.07779     0.92221]],1,0.27493882179260254
99,8763,[[    0.32056     0.67944]],1,0.27509260177612305
100,8841,[[    0.82752     0.17248]],0,0.2511754035949707
101,8919,[[    0.35397     0.64603]],1,0.27794337272644043
102,9023,[[    0.90228    0.097715]],0,0.2757573127746582
103,9101,[[    0.32725     0.67275]],1,0.26196932792663574
104,9179,[[    0.98705    0.012954]],0,0.2982051372528076
105,9285,[[    0.53937     0.46063]],0,0.2622218132019043
106,9387,[[    0.69587     0.30413]],0,0.29369211196899414
107,9465,[[    0.44101     0.55899]],1,0.28165674209594727
108,9517,[[    0.61845     0.38155]],0,0.29217052459716797
109,9571,[[    0.73442     0.26558]],0,0.2849881649017334
110,9673,[[    0.85096     0.14904]],0,0.3052079677581787
111,9806,[[    0.65172     0.34828]],0,0.2818911075592041
112,9959,[[    0.96087     0.03913]],0,0.37988972663879395
113,10011,[[    0.32516     0.67484]],1,0.2829132080078125
114,10089,[[     0.5676      0.4324]],0,0.2928922176361084
115,10167,[[    0.78861     0.21139]],0,0.25754451751708984
116,10271,[[    0.97619    0.023812]],0,0.2655820846557617
117,10323,[[    0.86476     0.13524]],0,0.26557278633117676
118,10401,[[    0.64771     0.35229]],0,0.24580025672912598
119,10453,[[    0.69511     0.30489]],0,0.29743027687072754
120,10531,[[    0.15607     0.84393]],1,0.2625298500061035
121,10635,[[    0.61796     0.38204]],0,0.28482937812805176
122,10765,[[    0.97837    0.021627]],0,0.2650742530822754
123,10923,[[    0.98221    0.017793]],0,0.25433850288391113
124,11051,[[    0.51348     0.48652]],0,0.2594292163848877
125,11131,[[    0.46795     0.53205]],1,0.267960786819458
126,11181,[[    0.91246    0.087539]],0,0.26817965507507324
127,11337,[[  0.0074774     0.99252]],1,0.26730942726135254
128,11441,[[   0.044253     0.95575]],1,0.30196499824523926
129,11519,[[    0.55521     0.44479]],0,0.2749907970428467
130,11571,[[    0.86782     0.13218]],0,0.35243988037109375
131,11675,[[    0.31993     0.68007]],1,0.2466592788696289
132,11831,[[     0.3094      0.6906]],1,0.278486967086792
133,11914,[[     0.2379      0.7621]],1,0.243971586227417
134,12013,[[    0.60675     0.39325]],0,0.2595329284667969
135,12091,[[    0.58657     0.41343]],0,0.25798630714416504
136,12169,[[    0.29216     0.70784]],1,0.26265645027160645
137,12221,[[    0.50781     0.49219]],0,0.36888933181762695
138,12325,[[    0.94951    0.050488]],0,0.2424464225769043
139,12377,[[    0.51182     0.48818]],0,0.2660839557647705
140,12455,[[    0.20249     0.79751]],1,0.24626564979553223
141,12533,[[    0.70159     0.29841]],0,0.2715451717376709
142,12637,[[    0.64505     0.35495]],0,0.25090599060058594
143,12689,[[     0.3843      0.6157]],1,0.25934290885925293
144,12767,[[    0.73368     0.26632]],0,0.25487828254699707
145,12845,[[    0.22981     0.77019]],1,0.33187222480773926
