number,frame,S/L 1/0
1,1,1
2,15950,1
3,16050,0
4,21250,0
5,21350,1
6,32325,1
7,32375,0
8,36575,0
9,36675,1
10,48300,1
11,48425,0
12,49100,0
13,49200,1
14,57250,1
15,57350,0
16,74300,0
