,0,1,2,3,4
0,42,1,1,0.929711639881134,[1.0]
1,251,1,1,0.9405420422554016,[1.0]
2,451,1,1,0.9257996678352356,[1.0]
3,601,1,1,0.9331382513046265,[1.0]
4,701,1,1,0.9350766539573669,[1.0]
5,801,1,1,0.9405093789100647,[1.0]
6,851,1,1,0.9346476793289185,[1.0]
7,951,1,1,0.9302963614463806,[1.0]
8,1051,1,1,0.9245619773864746,[1.0]
9,1151,1,1,0.9225471615791321,[1.0]
10,1201,1,1,0.9251701831817627,[1.0]
11,1301,1,1,0.923788845539093,[1.0]
12,1401,1,1,0.9234892725944519,[1.0]
13,1601,1,1,0.9345358610153198,[1.0]
14,1751,1,1,0.9109475612640381,[1.0]
15,1801,1,1,0.9184284806251526,[1.0]
16,1851,1,1,0.9163509011268616,[1.0]
17,1901,1,1,0.9158452153205872,[1.0]
18,2051,1,1,0.9053856134414673,[1.0]
19,2151,1,1,0.9118271470069885,[1.0]
20,2201,1,1,0.9120318293571472,[1.0]
21,2301,1,1,0.9111233353614807,[1.0]
22,2351,1,1,0.911017656326294,[1.0]
23,2401,1,1,0.9142348170280457,[1.0]
24,2551,1,1,0.907873809337616,[1.0]
25,2701,1,1,0.9216780662536621,[1.0]
26,2794,1,1,0.8967500329017639,[1.0]
27,2850,1,1,0.9201386570930481,[1.0]
28,2947,1,1,0.9257106781005859,[1.0]
29,3101,1,1,0.9023046493530273,[1.0]
30,3300,1,1,0.9048405885696411,[1.0]
31,3411,1,1,0.9178354144096375,[1.0]
32,3600,1,0,0.9244975447654724,[0.0]
33,3673,1,0,0.9073148965835571,[0.0]
34,3724,1,0,0.9119409918785095,[0.0]
35,3806,1,0,0.9078298807144165,[0.0]
36,3900,1,0,0.9011238813400269,[0.0]
37,4000,1,0,0.9143690466880798,[0.0]
38,4100,1,0,0.9173719882965088,[0.0]
39,4199,1,0,0.917616605758667,[0.0]
40,4354,1,0,0.9135648012161255,[0.0]
41,4505,1,0,0.9180896282196045,[0.0]
42,4651,1,0,0.9149661064147949,[0.0]
43,4751,1,0,0.9102985858917236,[0.0]
44,4851,1,0,0.9153012633323669,[0.0]
45,4974,1,0,0.9139311909675598,[0.0]
46,5051,1,0,0.9043666124343872,[0.0]
47,5151,1,0,0.9167459011077881,[0.0]
48,5374,1,1,0.8965266346931458,[1.0]
49,5451,1,1,0.9037142395973206,[1.0]
50,5551,1,1,0.8954510688781738,[1.0]
51,5751,1,1,0.9057198762893677,[1.0]
52,5848,2,0,0.8106489181518555,"[0.0, 1.0]"
53,5948,1,1,0.933589518070221,[1.0]
54,6001,1,1,0.9154881834983826,[1.0]
55,6148,1,1,0.9105772972106934,[1.0]
56,6205,1,1,0.9088892340660095,[1.0]
57,6301,1,1,0.9126667976379395,[1.0]
58,6451,1,1,0.9199561476707458,[1.0]
59,6501,1,1,0.9066526889801025,[1.0]
60,6553,1,1,0.9100812077522278,[1.0]
61,6701,1,1,0.9229780435562134,[1.0]
62,6751,1,1,0.9203198552131653,[1.0]
63,6904,1,1,0.9059217572212219,[1.0]
64,7051,1,1,0.9216542840003967,[1.0]
65,7151,1,1,0.9421694874763489,[1.0]
66,7222,1,1,0.9009732604026794,[1.0]
67,7301,1,1,0.9285936951637268,[1.0]
68,7403,1,1,0.9146423935890198,[1.0]
69,7504,1,1,0.9160158038139343,[1.0]
70,7603,1,1,0.9261692762374878,[1.0]
71,7751,1,1,0.9194067120552063,[1.0]
72,7847,1,1,0.9219645857810974,[1.0]
73,7951,1,1,0.9233165383338928,[1.0]
74,8147,1,1,0.9192623496055603,[1.0]
75,8197,1,1,0.9127637147903442,[1.0]
