,0,1,2,3,4
0,37,1,0,0.7268410921096802,[0.0]
1,251,1,0,0.7870215773582458,[0.0]
2,351,1,0,0.8351424336433411,[0.0]
3,551,1,0,0.8242973685264587,[0.0]
4,601,1,0,0.814785361289978,[0.0]
5,751,1,0,0.7899253368377686,[0.0]
6,801,1,0,0.7991683483123779,[0.0]
7,901,1,0,0.7872439026832581,[0.0]
8,1051,1,0,0.759243905544281,[0.0]
9,1151,1,0,0.803371250629425,[0.0]
10,1251,2,0,0.5213983654975891,"[0.0, 1.0]"
11,1401,2,0,0.4643699824810028,"[0.0, 1.0]"
12,1501,2,1,0.5573824644088745,"[1.0, 0.0]"
13,1551,2,1,0.6390624046325684,"[1.0, 0.0]"
14,1601,2,1,0.6101391911506653,"[1.0, 0.0]"
15,1701,1,1,0.6624236106872559,[1.0]
16,1801,1,1,0.656679093837738,[1.0]
17,1901,2,0,0.6681727170944214,"[0.0, 1.0]"
18,2101,1,0,0.7400676012039185,[0.0]
19,2251,1,0,0.7675908207893372,[0.0]
20,2301,1,0,0.7525472044944763,[0.0]
21,2401,1,0,0.7647272348403931,[0.0]
22,2451,1,0,0.770551860332489,[0.0]
23,2501,1,0,0.8030111193656921,[0.0]
24,2551,1,0,0.8693686127662659,[0.0]
25,2651,1,0,0.7648629546165466,[0.0]
26,2751,1,1,0.6513611674308777,[1.0]
27,2956,1,1,0.3282446265220642,[1.0]
28,3051,1,0,0.649633526802063,[0.0]
29,3101,1,0,0.7557820677757263,[0.0]
30,3151,1,0,0.7873502373695374,[0.0]
31,3201,1,0,0.755555272102356,[0.0]
32,3300,1,0,0.7957038283348083,[0.0]
33,3351,1,0,0.7764372825622559,[0.0]
34,3425,1,0,0.7700117826461792,[0.0]
35,3501,1,0,0.7828138470649719,[0.0]
36,3601,1,0,0.6639834642410278,[0.0]
37,3651,1,1,0.32125648856163025,[1.0]
38,3751,1,1,0.47352173924446106,[1.0]
39,3900,2,1,0.41467663645744324,"[1.0, 1.0]"
40,3975,2,1,0.3581206500530243,"[1.0, 0.0]"
41,4051,1,0,0.6758450269699097,[0.0]
42,4151,1,0,0.7647240161895752,[0.0]
43,4303,1,0,0.7823975682258606,[0.0]
44,4355,1,0,0.782390296459198,[0.0]
45,4555,1,0,0.7842112183570862,[0.0]
46,4651,1,0,0.7754769325256348,[0.0]
47,4755,1,1,0.3118002116680145,[1.0]
48,4805,2,1,0.43565720319747925,"[1.0, 1.0]"
49,4955,1,0,0.7170732021331787,[0.0]
50,5056,1,0,0.8286662697792053,[0.0]
51,5206,1,0,0.7384878993034363,[0.0]
52,5280,1,0,0.6872144341468811,[0.0]
53,5350,1,0,0.7186052203178406,[0.0]
54,5404,1,0,0.7371559739112854,[0.0]
55,5505,1,0,0.7103585600852966,[0.0]
56,5653,1,0,0.7327855229377747,[0.0]
57,5704,1,0,0.7799432873725891,[0.0]
58,5853,1,0,0.6708605885505676,[0.0]
59,6003,1,0,0.7647008895874023,[0.0]
60,6203,2,1,0.5495568513870239,"[1.0, 0.0]"
61,6304,2,0,0.44584521651268005,"[0.0, 1.0]"
62,6354,2,0,0.5872181057929993,"[0.0, 1.0]"
63,6553,1,1,0.680101215839386,[1.0]
64,6660,2,1,0.6573410630226135,"[1.0, 0.0]"
65,6801,2,1,0.6195343732833862,"[1.0, 0.0]"
66,6951,2,1,0.6241282224655151,"[1.0, 0.0]"
67,7097,2,1,0.5906690955162048,"[1.0, 0.0]"
68,7147,2,0,0.5711371898651123,"[0.0, 1.0]"
69,7247,2,1,0.520606279373169,"[1.0, 0.0]"
70,7304,2,0,0.602433979511261,"[0.0, 1.0]"
71,7397,1,1,0.6847085952758789,[1.0]
72,7497,2,1,0.6553261876106262,"[1.0, 0.0]"
73,7547,1,0,0.5946312546730042,[0.0]
74,7601,1,0,0.803952693939209,[0.0]
75,7703,1,0,0.7820627689361572,[0.0]
76,7759,1,0,0.8298044204711914,[0.0]
77,7851,1,0,0.7896903157234192,[0.0]
78,7951,1,0,0.7837451696395874,[0.0]
79,8051,1,0,0.8027048110961914,[0.0]
80,8101,1,0,0.8449374437332153,[0.0]
81,8209,1,0,0.8114746809005737,[0.0]
82,8319,1,0,0.8190757036209106,[0.0]
83,8401,1,0,0.8145438432693481,[0.0]
84,8501,2,0,0.665835440158844,"[0.0, 1.0]"
85,8601,1,0,0.6428308486938477,[0.0]
86,8751,2,0,0.6147646903991699,"[0.0, 1.0]"
87,8846,2,1,0.7764079570770264,"[1.0, 0.0]"
88,8896,2,1,0.5585834383964539,"[1.0, 0.0]"
89,9001,1,0,0.7466996908187866,[0.0]
90,9101,1,0,0.7760344743728638,[0.0]
91,9246,1,0,0.7687742710113525,[0.0]
92,9396,1,0,0.7282871603965759,[0.0]
93,9496,1,0,0.748772144317627,[0.0]
94,9596,1,0,0.8693041801452637,[0.0]
95,9801,1,0,0.757760763168335,[0.0]
96,9901,1,0,0.7693781852722168,[0.0]
97,10019,1,0,0.7074120044708252,[0.0]
98,10151,1,0,0.7552236318588257,[0.0]
99,10201,1,0,0.7099002003669739,[0.0]
100,10301,1,0,0.7690401077270508,[0.0]
101,10395,1,0,0.8203044533729553,[0.0]
102,10470,1,0,0.8695881962776184,[0.0]
103,10601,1,0,0.8216712474822998,[0.0]
104,10795,1,0,0.8453962802886963,[0.0]
105,10945,1,0,0.7818273305892944,[0.0]
106,11044,1,0,0.7596197128295898,[0.0]
107,11144,1,0,0.8080090880393982,[0.0]
108,11194,1,0,0.8315222859382629,[0.0]
